Ticker,Price,RSI14,AboveMA9,AboveMA21,Chg_$,%Chg_d,PctAboveMA9,PctAboveMA21,EMA9,EMA21,ATR14,%Chg_5d,%Chg_10d,%Chg_20d,Trend,RVOL10,Vol
SW,47.36,60.99,True,True,0.97,2.09,4.95,6.84,45.61,45.08,5.53,3.63,10.94,6.79,Up,0.91,"4,320,700"
PCG,15.28,57.37,True,True,0.29,1.93,1.02,1.26,15.1,14.94,1.47,0.59,1.73,8.22,Neutral,0.78,"19,336,200"
T,29.29,63.16,True,True,0.35,1.21,0.98,2.61,28.93,28.62,1.51,1.81,1.45,5.55,Up,0.89,"26,557,200"
SLB,36.84,68.44,True,True,0.36,0.99,4.79,8.55,35.43,34.68,4.58,3.45,11.67,11.47,Strong Up,0.96,"11,883,000"
MTCH,37.34,59.61,True,True,0.3,0.81,0.24,1.6,37.23,36.59,3.92,0.11,-2.46,11.13,Neutral,1.22,"4,124,800"
VICI,33.78,60.48,True,True,0.27,0.81,1.41,2.03,33.39,33.17,1.72,1.14,3.94,2.02,Up,0.86,"7,845,500"
HPQ,28.54,68.24,True,True,0.19,0.67,4.29,7.6,27.5,26.8,3.14,2.88,6.73,16.73,Strong Up,1.38,"12,745,700"
DVN,36.1,68.81,True,True,0.22,0.61,3.16,6.72,35.15,34.34,3.54,2.67,7.15,12.32,Strong Up,0.93,"6,145,100"
IPG,26.84,61.38,True,True,0.15,0.56,0.12,3.62,26.67,26.17,2.56,-1.54,2.87,10.73,Up,0.41,"2,410,200"
F,11.77,59.43,True,True,0.06,0.51,0.7,2.99,11.69,11.52,0.86,0.26,2.88,8.78,Neutral,0.92,"44,060,200"
BEN,25.66,59.72,True,True,0.12,0.47,1.83,1.83,25.37,25.15,1.74,1.06,1.3,7.14,Neutral,1.36,"4,192,100"
AES,13.54,59.13,True,True,0.06,0.45,1.41,2.75,13.37,13.22,1.03,0.37,1.73,2.34,Neutral,1.01,"8,383,900"
DOC,17.94,59.31,True,True,0.08,0.45,1.96,3.99,17.64,17.5,1.37,1.07,3.64,6.98,Neutral,0.81,"5,435,900"
HAL,22.73,62.17,True,True,0.1,0.44,3.51,5.59,22.11,21.81,2.33,2.07,7.62,5.23,Up,0.81,"8,055,900"
KIM,22.49,64.85,True,True,0.09,0.4,1.89,4.49,22.09,21.77,1.72,1.31,6.03,8.44,Up,0.95,"3,291,400"
USB,48.83,68.91,True,True,0.16,0.33,2.19,5.48,47.94,46.99,4.2,1.14,6.31,11.13,Strong Up,1.46,"12,069,900"
ENPH,37.7,56.37,True,True,0.12,0.32,1.68,9.01,36.94,36.11,8.27,-1.26,8.21,19.95,Neutral,0.46,"4,036,800"
MGM,39.69,68.57,True,True,0.1,0.25,4.15,8.55,38.39,37.41,5.64,4.28,10.5,11.02,Strong Up,0.79,"2,985,900"
CTRA,24.44,56.85,True,True,0.06,0.25,2.64,2.28,24.03,23.99,1.61,2.65,1.71,3.12,Neutral,0.63,"3,605,500"
OXY,47.61,68.89,True,True,0.1,0.21,3.74,6.47,46.25,45.3,4.41,3.88,6.72,9.68,Strong Up,0.68,"5,795,000"
FE,43.62,59.59,True,True,0.06,0.14,0.03,0.22,43.58,43.23,1.67,-0.39,0.35,1.0,Neutral,1.11,"4,028,000"
CPRT,48.81,61.62,True,True,0.06,0.12,0.92,2.98,48.34,47.77,3.11,-0.31,3.67,7.25,Up,0.95,"5,330,200"
FCX,44.4,60.17,True,True,0.03,0.07,2.87,5.45,43.49,42.91,3.77,2.59,4.82,10.92,Up,0.8,"7,369,100"
TFC,46.82,68.18,True,True,0.03,0.06,2.52,5.15,45.92,45.11,4.04,1.98,5.4,8.99,Strong Up,1.32,"9,363,000"
HBAN,17.81,68.53,True,True,0.01,0.06,2.99,6.43,17.38,17.02,1.82,2.59,7.48,11.03,Strong Up,0.98,"22,951,200"
KEY,19.36,69.84,True,True,0.01,0.05,2.54,5.95,18.97,18.55,2.01,2.0,7.32,9.69,Strong Up,0.84,"21,339,900"
LUV,32.9,55.69,True,True,-0.08,-0.24,1.54,5.61,32.47,32.12,4.31,0.4,4.44,10.4,Neutral,0.55,"3,635,800"
BKR,45.4,66.01,True,True,-0.17,-0.37,2.5,4.04,44.52,43.79,3.88,1.43,6.07,4.34,Up,1.06,"4,786,700"
HST,17.21,68.28,True,True,-0.08,-0.46,2.57,6.84,16.84,16.43,2.08,1.77,9.48,10.82,Strong Up,0.74,"6,765,300"
IVZ,21.89,65.99,True,True,-0.17,-0.77,1.88,3.3,21.64,21.13,1.77,1.58,3.65,6.21,Up,1.19,"4,221,800"
CCL,31.89,63.71,True,True,-0.6,-1.85,2.78,5.83,31.33,30.49,4.12,1.88,7.16,9.7,Up,0.92,"14,826,500"
NCLH,24.84,55.47,True,True,-0.55,-2.17,1.07,1.23,24.73,24.38,2.46,-0.84,2.22,1.39,Neutral,0.93,"11,885,200"
HPE,22.57,62.54,True,True,-0.59,-2.55,1.48,5.61,22.33,21.69,2.87,0.53,6.66,13.93,Up,1.13,"19,962,600"
