Ticker,Latest Close,Previous 20d Max,Breakout %,Volume
WDC,90.48999786376953,86.0,5.22,13.532M
STX,183.97999572753906,176.32000732421875,4.34,5.555M
PHM,137.61000061035156,133.3000030517578,3.23,2.280M
DHI,176.69000244140625,172.1699981689453,2.63,3.386M
RL,320.75,313.3599853515625,2.36,566.7K
A,128.47999572753906,125.66000366210938,2.24,2.715M
BBY,77.05000305175781,75.44999694824219,2.12,4.477M
CPRT,49.970001220703125,48.959999084472656,2.06,8.168M
BXP,75.29000091552734,73.77999877929688,2.05,2.322M
AMZN,235.67999267578125,231.60000610351562,1.76,59.196M
LEN,138.07000732421875,135.75,1.71,2.516M
MHK,135.4199981689453,133.2100067138672,1.66,694.1K
BKR,46.31999969482422,45.56999969482422,1.65,7.536M
TROW,111.5199966430664,109.94999694824219,1.43,5.254M
NTAP,118.83000183105469,117.22000122070312,1.37,2.050M
KIM,22.790000915527344,22.489999771118164,1.33,3.314M
HST,17.59000015258789,17.3700008392334,1.27,8.758M
TJX,141.02000427246094,139.47000122070312,1.11,3.345M
VRSN,277.0799865722656,274.1099853515625,1.08,439.1K
FITB,46.2599983215332,45.77000045776367,1.07,2.945M
TRV,279.42999267578125,276.54998779296875,1.04,1.234M
ROST,152.80999755859375,151.25,1.03,2.543M
GPC,141.25,139.85000610351562,1.0,3.465M
RJF,171.08999633789062,169.44000244140625,0.97,888.5K
GE,282.2699890136719,279.6300048828125,0.94,3.670M
MTB,202.36000061035156,200.517333984375,0.92,916.6K
HIG,134.6999969482422,133.4932861328125,0.9,1.758M
LMT,456.8500061035156,452.8760070800781,0.88,1.448M
JPM,303.82000732421875,301.4200134277344,0.8,6.601M
EXPE,216.52000427246094,214.8000030517578,0.8,1.060M
RF,27.360000610351562,27.144805908203125,0.79,17.124M
NCLH,25.59000015258789,25.389999389648438,0.79,16.209M
BRK-B,506.9100036621094,502.9800109863281,0.78,2.481M
DRI,210.19000244140625,208.5800018310547,0.77,736.6K
APH,112.75,111.94000244140625,0.72,8.143M
GOOGL,232.3000030517578,230.66000366210938,0.71,49.168M
USB,49.16999816894531,48.83000183105469,0.7,5.562M
GOOG,232.66000366210938,231.10000610351562,0.68,30.727M
L,97.52999877929688,96.87999725341797,0.67,505.8K
PNR,110.05999755859375,109.33999633789062,0.66,1.246M
URI,964.6599731445312,958.77001953125,0.61,404.9K
ORLY,105.04000091552734,104.44000244140625,0.57,3.575M
PFG,81.30000305175781,80.83999633789062,0.57,1.001M
ARE,82.88999938964844,82.44000244140625,0.55,515.3K
AAPL,239.77999877929688,238.47000122070312,0.55,46.158M
GLW,69.72000122070312,69.33999633789062,0.55,6.228M
TFC,47.06999969482422,46.81999969482422,0.53,5.382M
ABBV,213.0,211.9199981689453,0.51,2.538M
AME,187.8699951171875,186.9499969482422,0.49,760.8K
REG,73.55999755859375,73.19999694824219,0.49,1.201M
T,29.579999923706055,29.440000534057617,0.48,26.641M
SPG,181.52000427246094,180.66000366210938,0.48,1.943M
PODD,346.4700012207031,344.9200134277344,0.45,473.2K
FRT,100.98999786376953,100.55000305175781,0.44,336.7K
CFG,52.5099983215332,52.279998779296875,0.44,2.807M
PANW,192.35000610351562,191.52999877929688,0.43,5.853M
JNJ,178.75999450683594,178.05999755859375,0.39,5.980M
HBAN,17.8799991607666,17.809999465942383,0.39,35.784M
WRB,72.91999816894531,72.63999938964844,0.39,1.606M
SYY,82.51000213623047,82.19000244140625,0.39,3.069M
SYF,76.86000061035156,76.58000183105469,0.37,1.982M
HCA,411.5899963378906,410.17999267578125,0.34,1.715M
MET,81.75,81.48999786376953,0.32,1.796M
LOW,264.57000732421875,263.7300109863281,0.32,2.259M
DOC,18.0,17.950000762939453,0.28,4.876M
HLT,278.05999755859375,277.349365234375,0.26,2.004M
ADSK,319.92999267578125,319.1600036621094,0.24,1.420M
TEL,208.5399932861328,208.0399932861328,0.24,1.504M
CHD,95.2300033569336,95.0199966430664,0.22,1.533M
C,97.08000183105469,96.87000274658203,0.22,10.977M
GS,748.9000244140625,747.219970703125,0.22,1.777M
MCD,316.989990234375,316.3900146484375,0.19,2.309M
DECK,123.91000366210938,123.66999816894531,0.19,2.247M
APTV,80.44999694824219,80.30000305175781,0.19,1.806M
EXR,143.83999633789062,143.5800018310547,0.18,1.435M
UNH,310.3800048828125,309.8699951171875,0.16,6.996M
UHS,185.67999267578125,185.37559509277344,0.16,734.7K
GL,141.4499969482422,141.24000549316406,0.15,409.3K
CINF,155.58999633789062,155.39999389648438,0.12,214.6K
AFL,108.55000305175781,108.45999908447266,0.08,2.333M
FOXA,60.810001373291016,60.77000045776367,0.07,3.018M
CB,279.8800048828125,279.67999267578125,0.07,1.486M
MS,150.52999877929688,150.47999572753906,0.03,3.317M
VLO,155.38999938964844,155.3800048828125,0.01,2.611M
HUM,312.0,311.9800109863281,0.01,1.412M
SYK,394.3399963378906,394.3299865722656,0.0,1.040M
